,0,1,2,3,4,5,6,7,8,9,10
45,41,10,2,Marvin BRACY,15-Dec-93,USA,1h3,,"Hayward Field, Eugene, OR (USA)",19-Jun-21,1206
46,41,10,0.8,Cravon GILLESPIE,31-Jul-96,USA,6,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1206
47,41,10,-0.3,Justin GATLIN,10-Feb-82,USA,3sf1,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1207
48,41,10,0.6,Tyquendo TRACEY,10-Jun-93,JAM,1,,"National Stadium, Kingston (JAM)",25-Jun-21,1206
49,41,10,1.2,Michael RODGERS,24-Apr-85,USA,2,,"Bregyó Athletic Center, Székesfehérvár (HUN)",6-Jul-21,1206
50,50,10.01,1.2,Cejhae GREENE,6-Oct-95,ANT,1f1,,"Tropical Park Track, Miami, FL (USA)",20-Mar-21,1203
51,50,10.01,1.4,Ferdinand Omanyala OMURWA,3-Aug-96,KEN,1h1,,"Yabatech Sport Complex, Lagos (NGR)",30-Mar-21,1203
52,50,10.01,1.9,Emmanuel MATADI,15-Apr-91,LBR,4f2,,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1203
53,50,10.01,-0.2,Trayvon BROMELL,10-Jul-95,USA,1,,"Hayward Field, Eugene, OR (USA)",24-Apr-21,1204
54,50,10.01,0.3,Trayvon BROMELL,10-Jul-95,USA,1h1,,"Hayward Field, Eugene, OR (USA)",24-Apr-21,1203
55,50,10.01,2,Jason ROGERS,31-Aug-91,SKN,2f1,,"Tropical Park Track, Miami, FL (USA)",24-Apr-21,1203
56,50,10.01,1.9,Christopher BELCHER,29-Jan-94,USA,3,,"Hilmer Lodge Stadium, Walnut, CA (USA)",9-May-21,1203
57,50,10.01,2,Shuhei TADA,24-Jun-96,JPN,2f1,,"Athletic Stadium, Tottori (JPN)",6-Jun-21,1203
58,50,10.01,1.7,Ryota YAMAGATA,10-Jun-92,JPN,1h2,,"Athletic Stadium, Tottori (JPN)",6-Jun-21,1203
59,50,10.01,2,Christopher BELCHER,29-Jan-94,USA,2h3,,"Hayward Field, Eugene, OR (USA)",19-Jun-21,1203
60,50,10.01,0.6,Yohan BLAKE,26-Dec-89,JAM,2,,"National Stadium, Kingston (JAM)",25-Jun-21,1203
61,50,10.01,-1,Lamont Marcell JACOBS,26-Sep-94,ITA,1,,"Stadio Quercia, Rovereto (ITA)",26-Jun-21,1209
62,62,10.02,2,Cejhae GREENE,6-Oct-95,ANT,1h2,,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1199
63,62,10.02,1.8,Benjamin AZAMATI-KWAKU,14-Jan-98,GHA,1,,"GVSU La Crosse Stadium, Allendale, MI (USA)",29-May-21,1199
64,62,10.02,1.7,Cravon GILLESPIE,31-Jul-96,USA,1,,"CVEATC, Chula Vista, CA (USA)",30-May-21,1199
65,62,10.02,1.5,Ferdinand Omanyala OMURWA,3-Aug-96,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",17-Jun-21,1199
66,62,10.02,-0.3,Micah WILLIAMS,12-Nov-01,USA,4sf1,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1200
67,62,10.02,1.2,Marvin BRACY,15-Dec-93,USA,3,,"Bregyó Athletic Center, Székesfehérvár (HUN)",6-Jul-21,1199
68,68,10.03,1,Fred KERLEY,7-May-95,USA,1f1,,"National Training Center, Clermont, FL (USA)",4-Apr-21,1196
69,68,10.03,2,Kyree KING,9-Jul-94,USA,2h2,,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1196
70,68,10.03,1.4,Kenneth BEDNAREK,14-Oct-98,USA,3f1,,"Percy Beard Track (Un. of Florida), Gainesville, FL (USA)",17-Apr-21,1196
71,68,10.03,-1,Micah WILLIAMS,12-Nov-01,USA,1f1,,"Roy P. Drachman Stadium, Tucson, AZ (USA)",1-May-21,1202
72,68,10.03,0.5,Benjamin AZAMATI-KWAKU,14-Jan-98,GHA,1h1,,"WTAMU T&Fi Complex, Canyon, TX (USA)",7-May-21,1196
73,68,10.03,1.9,Chijindu UJAH,5-Mar-94,GBR,4,,"Hilmer Lodge Stadium, Walnut, CA (USA)",9-May-21,1196
74,68,10.03,0.3,Noah LYLES,18-Jul-97,USA,1h2,,"Boston, MA (USA)",23-May-21,1196
75,68,10.03,-0.3,Cravon GILLESPIE,31-Jul-96,USA,5sf1,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1197
76,68,10.03,1.1,Yohan BLAKE,26-Dec-89,JAM,1h2,,"National Stadium, Kingston (JAM)",24-Jun-21,1196
77,68,10.03,0.8,Julian FORTE,7-Jan-93,JAM,1sf2,,"National Stadium, Kingston (JAM)",25-Jun-21,1196
78,68,10.03,-0.8,Ronnie BAKER,15-Oct-93,USA,1,,"Olympiastadion, Stockholm (SWE)",4-Jul-21,1200
79,79,10.04,2,Nigel ELLIS,8-Aug-97,JAM,3f1,,"Tropical Park Track, Miami, FL (USA)",24-Apr-21,1193
80,79,10.04,1.9,Kyree KING,9-Jul-94,USA,5,,"Hilmer Lodge Stadium, Walnut, CA (USA)",9-May-21,1193
81,79,10.04,1.3,Benjamin AZAMATI-KWAKU,14-Jan-98,GHA,1h2,,"GVSU La Crosse Stadium, Allendale, MI (USA)",27-May-21,1193
