,0,1,2,3,4,5,6,7,8,9,10
46,43,9.91,-0.2,Daniel BAILEY,09 SEP 1986,ANT,2,,Paris-St-Denis (FRA),17 JUL 2009,1239
47,43,9.91,+0.7,Churandy MARTINA,03 JUL 1984,NED,2sf1,,"Olympic Stadium, London (GBR)",05 AUG 2012,1238
48,43,9.91,+1.1,James DASAOLU,05 SEP 1987,GBR,1sf2,,Birmingham (GBR),13 JUL 2013,1238
49,43,9.91,+1.8,Femi OGUNODE,15 MAY 1991,QAT,1,,Wuhan (CHN),04 JUN 2015,1238
50,43,9.91,+1.0,Julian FORTE,07 JAN 1993,JAM,1,,"Olympiastadion, Berlin (GER)",27 AUG 2017,1238
51,43,9.91,+0.4,Zharnel HUGHES,13 JUL 1995,GBR,1f1,,Kingston (JAM),09 JUN 2018,1238
52,43,9.91,+0.2,Bingtian SU,29 AUG 1989,CHN,1,,"Moratalaz, Madrid (ESP)",22 JUN 2018,1238
53,43,9.91,+0.8,Micah WILLIAMS,12 NOV 2001,USA,5,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1238
54,54,9.92,+0.3,Andre CASON,20 JAN 1969,USA,2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1234
55,54,9.92,+0.8,Jon DRUMMOND,09 SEP 1968,USA,h,,"Indianapolis, IN (USA)",12 JUN 1997,1234
56,54,9.92,+0.2,Tim MONTGOMERY,28 JAN 1975,USA,2,,"Indianapolis, IN (USA)",13 JUN 1997,1234
57,54,9.92,-0.2,Seun OGUNKOYA,28 DEC 1977,NGR,2,,"SGJ, Johannesburg (RSA)",11 SEP 1998,1235
58,54,9.92,+1.0,Tim HARDEN,27 JAN 1974,USA,1,,Luzern (SUI),05 JUL 1999,1234
59,54,9.92,+2.0,Christophe LEMAITRE,11 JUN 1990,FRA,1,,Albi (FRA),29 JUL 2011,1234
60,54,9.92,-0.8,Kemar BAILEY-COLE,10 JAN 1992,JAM,3,,"Olympic Stadium, London (GBR)",24 JUL 2015,1238
61,54,9.92,+0.9,Jak Ali HARVEY,04 MAY 1989,TUR,1f2,,Erzurum (TUR),12 JUN 2016,1234
62,62,9.93,+1.4,Calvin SMITH,08 JAN 1961,USA,1,,Air Force Academy (USA),03 JUL 1983,1231
63,62,9.93,-0.6,Michael MARSH,04 AUG 1967,USA,1f1,,"Walnut, CA (USA)",18 APR 1992,1234
64,62,9.93,+1.8,Patrick JOHNSON,26 SEP 1972,AUS,1,,Mito (JPN),05 MAY 2003,1231
65,62,9.93,+1.1,Ivory WILLIAMS,02 MAY 1985,USA,1f2,,Rethymno (GRE),20 JUL 2009,1231
66,62,9.93,+1.8,Kemarley BROWN,20 JUL 1992,JAM,1,,"Walnut, CA (USA)",17 MAY 2014,1231
67,62,9.93,+1.7,Clayton VAUGHN,15 MAY 1992,USA,1,,"Mobile, AL (USA)",08 MAY 2015,1231
68,62,9.93,+1.9,Kim COLLINS,05 APR 1976,SKN,1f2,,Bottrop (GER),29 MAY 2016,1231
69,62,9.93,+0.8,Cameron BURRELL,11 SEP 1994,USA,1sf2,,"Eugene, OR (USA)",07 JUN 2017,1231
70,62,9.93,+1.6,Christopher BELCHER,29 JAN 1994,USA,1sf3,,"Eugene, OR (USA)",07 JUN 2017,1231
71,62,9.93,+0.8,Cravon GILLESPIE,31 JUL 1996,USA,2,,"Austin, TX (USA)",07 JUN 2019,1231
72,62,9.93,+1.9,Arthur CISSÉ,29 DEC 1996,CIV,1,,Leverkusen (GER),24 JUL 2019,1231
73,73,9.94,+0.2,Davidson EZINWA,22 NOV 1971,NGR,1,,Linz (AUT),04 JUL 1994,1227
74,73,9.94,-0.2,Bernard WILLIAMS,19 JAN 1978,USA,2,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1228
75,73,9.94,+1.7,Diondre BATSON,13 JUL 1992,USA,2h2,,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1227
76,73,9.94,+1.4,Andrew FISHER,15 DEC 1991,JAM,2,,"Moratalaz, Madrid (ESP)",11 JUL 2015,1227
77,73,9.94,+1.0,Ameer WEBB,19 MAR 1991,USA,2f1,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1227
78,73,9.94,+0.9,Wayde VAN NIEKERK,15 JUL 1992,RSA,1f3,,Velenje (SLO),20 JUN 2017,1227
79,73,9.94,-0.5,Reece PRESCOD,29 FEB 1996,GBR,2,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1230
80,73,9.94,+1.6,Jo'Vaughn MARTIN,,USA,1f2,,"Percy Beard Track (Un. of Florida), Gainesville, FL (USA)",17 APR 2021,1227
81,73,9.94,+1.3,Tlotliso Gift LEOTLELA,12 MAY 1998,RSA,1,,"UJ Stadium, Johannesburg (RSA)",14 MAY 2021,1227
82,82,9.95,+0.3,Jim HINES,10 SEP 1946,USA,1,,"Estadio Olímpico, Ciudad de México (MEX)",14 OCT 1968,1224
83,82,9.95,+0.8,Ben JOHNSON,30 DEC 1961,CAN,1f1,,Moskva (URS),09 JUL 1986,1224
84,82,9.95,+1.9,Olapade ADENIKEN,19 AUG 1969,NGR,1f1,,"El Paso, TX (USA)",16 APR 1994,1224
85,82,9.95,+0.8,Vincent HENDERSON,20 OCT 1972,USA,1,,Leverkusen (GER),09 AUG 1998,1224
86,82,9.95,+1.8,Joshua J. JOHNSON,10 MAY 1976,USA,1,,"Walnut, CA (USA)",21 APR 2002,1224
87,82,9.95,+0.6,Deji ALIU,22 NOV 1975,NGR,1,,Abuja (NGR),12 OCT 2003,1224
88,82,9.95,+1.8,John CAPEL,27 OCT 1978,USA,3,,"Eugene, OR (USA)",19 JUN 2004,1224
89,82,9.95,+1.6,Rodney MARTIN,22 DEC 1982,USA,2qf2,,"Eugene, OR (USA)",28 JUN 2008,1224
90,82,9.95,-0.8,Trell KIMMONS,13 JUL 1985,USA,1f2,,"Letzigrund, Zürich (SUI)",19 AUG 2010,1228
91,82,9.95,+0.9,Mario FORSYTHE,30 OCT 1985,JAM,3,,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1224
92,82,9.95,+1.8,Kemar HYMAN,11 OCT 1989,CAY,1h2,,"Moratalaz, Madrid (ESP)",07 JUL 2012,1224
93,82,9.95,+1.2,Thando ROTO,26 SEP 1995,RSA,2,,Pretoria (RSA),18 MAR 2017,1224
94,82,9.95,+1.5,Lamont Marcell JACOBS,26 SEP 1994,ITA,1h2,,"Centro Sportivo Fontanassa, Savona (ITA)",13 MAY 2021,1224
95,82,9.95,+2.0,Ryota YAMAGATA,10 JUN 1992,JPN,1f1,,"Athletic Stadium, Tottori (JPN)",06 JUN 2021,1224
96,96,9.96,+0.1,Mel LATTANY,10 AUG 1959,USA,1,,"Athens, GA (USA)",05 MAY 1984,1220
97,96,9.96,+1.2,Raymond STEWART,18 MAR 1965,JAM,6,,"Olympic Stadium, Tokyo (JPN)",25 AUG 1991,1220
98,96,9.96,+0.8,Kareem STREETE-THOMPSON,30 MAR 1973,USA,h,,"Indianapolis, IN (USA)",12 JUN 1997,1220
99,96,9.96,+1.0,Marc BURNS,07 JAN 1983,TTO,1,,Port-of-Spain (TTO),25 JUN 2005,1220
