,0,1,2,3,4,5,6,7,8,9,10
46,44,9.80,+1.8,Justin GATLIN,10 FEB 1982,USA,1,,"Hayward Field, Eugene, OR (USA)",24 JUN 2012,1276
47,44,9.80,+0.6,Usain BOLT,21 AUG 1986,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1276
48,44,9.80,+0.1,Justin GATLIN,10 FEB 1982,USA,1f,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1276
49,44,9.80,-0.5,Justin GATLIN,10 FEB 1982,USA,2,,"National Stadium, Beijing (CHN)",23 AUG 2015,1279
50,44,9.80,+1.6,Justin GATLIN,10 FEB 1982,USA,1,,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1276
51,44,9.80,+0.8,Trayvon BROMELL,10 JUL 1995,USA,1,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1276
52,52,9.81,0.0,Usain BOLT,21 AUG 1986,JAM,1,,"Letzigrund, Zürich (SUI)",28 AUG 2009,1273
53,52,9.81,+1.3,Asafa POWELL,23 NOV 1982,JAM,1,,Paris (FRA),04 JUL 2015,1273
54,52,9.81,+0.2,Usain BOLT,21 AUG 1986,JAM,1,,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1273
55,52,9.81,-0.1,Christian COLEMAN,06 MAR 1996,USA,1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1273
56,56,9.82,-0.2,Maurice GREENE,23 JUL 1974,USA,1,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1270
57,56,9.82,0.0,Asafa POWELL,23 NOV 1982,JAM,1f1,,"Stade Louis II, Monaco (MON)",29 JUL 2008,1269
58,56,9.82,+1.4,Asafa POWELL,23 NOV 1982,JAM,1,,Rieti (ITA),07 SEP 2008,1269
59,56,9.82,+1.4,Asafa POWELL,23 NOV 1982,JAM,1,,Szczecin (POL),15 SEP 2009,1269
60,56,9.82,+0.6,Asafa POWELL,23 NOV 1982,JAM,1,,"Stadio Olimpico, Roma (ITA)",10 JUN 2010,1269
61,56,9.82,+0.5,Usain BOLT,21 AUG 1986,JAM,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 2010,1269
62,56,9.82,0.0,Yohan BLAKE,26 DEC 1989,JAM,1,,"Letzigrund, Zürich (SUI)",08 SEP 2011,1269
